postal_code,country,state,area_description,territory_description
00929,USA,PR,Eastern Florida & Puerto Rico,Southeast
00930,USA,PR,Eastern Florida & Puerto Rico,Southeast
00931,USA,PR,Eastern Florida & Puerto Rico,Southeast
00932,USA,PR,Eastern Florida & Puerto Rico,Southeast
00933,USA,PR,Eastern Florida & Puerto Rico,Southeast
00934,USA,PR,Eastern Florida & Puerto Rico,Southeast
00935,USA,PR,Eastern Florida & Puerto Rico,Southeast
00936,USA,PR,Eastern Florida & Puerto Rico,Southeast
00937,USA,PR,Eastern Florida & Puerto Rico,Southeast
00938,USA,PR,Eastern Florida & Puerto Rico,Southeast
00939,USA,PR,Eastern Florida & Puerto Rico,Southeast
00940,USA,PR,Eastern Florida & Puerto Rico,Southeast
00941,USA,PR,Eastern Florida & Puerto Rico,Southeast
00945,USA,PR,Eastern Florida & Puerto Rico,Southeast
00946,USA,PR,Eastern Florida & Puerto Rico,Southeast
00948,USA,PR,Eastern Florida & Puerto Rico,Southeast
00949,USA,PR,Eastern Florida & Puerto Rico,Southeast
00950,USA,PR,Eastern Florida & Puerto Rico,Southeast
00951,USA,PR,Eastern Florida & Puerto Rico,Southeast
00952,USA,PR,Eastern Florida & Puerto Rico,Southeast
00953,USA,PR,Eastern Florida & Puerto Rico,Southeast
00954,USA,PR,Eastern Florida & Puerto Rico,Southeast
00955,USA,PR,Eastern Florida & Puerto Rico,Southeast
00956,USA,PR,Eastern Florida & Puerto Rico,Southeast
00957,USA,PR,Eastern Florida & Puerto Rico,Southeast
00958,USA,PR,Eastern Florida & Puerto Rico,Southeast
00959,USA,PR,Eastern Florida & Puerto Rico,Southeast
00960,USA,PR,Eastern Florida & Puerto Rico,Southeast
00961,USA,PR,Eastern Florida & Puerto Rico,Southeast
00962,USA,PR,Eastern Florida & Puerto Rico,Southeast
00963,USA,PR,Eastern Florida & Puerto Rico,Southeast
00964,USA,PR,Eastern Florida & Puerto Rico,Southeast
00965,USA,PR,Eastern Florida & Puerto Rico,Southeast
00966,USA,PR,Eastern Florida & Puerto Rico,Southeast
00967,USA,PR,Eastern Florida & Puerto Rico,Southeast
00968,USA,PR,Eastern Florida & Puerto Rico,Southeast
00969,USA,PR,Eastern Florida & Puerto Rico,Southeast
00970,USA,PR,Eastern Florida & Puerto Rico,Southeast
00971,USA,PR,Eastern Florida & Puerto Rico,Southeast
00972,USA,PR,Eastern Florida & Puerto Rico,Southeast
00973,USA,PR,Eastern Florida & Puerto Rico,Southeast
00974,USA,PR,Eastern Florida & Puerto Rico,Southeast
00975,USA,PR,Eastern Florida & Puerto Rico,Southeast
00976,USA,PR,Eastern Florida & Puerto Rico,Southeast
00977,USA,PR,Eastern Florida & Puerto Rico,Southeast
00978,USA,PR,Eastern Florida & Puerto Rico,Southeast
00979,USA,PR,Eastern Florida & Puerto Rico,Southeast
00980,USA,PR,Eastern Florida & Puerto Rico,Southeast
00981,USA,PR,Eastern Florida & Puerto Rico,Southeast
00982,USA,PR,Eastern Florida & Puerto Rico,Southeast
00983,USA,PR,Eastern Florida & Puerto Rico,Southeast
00984,USA,PR,Eastern Florida & Puerto Rico,Southeast
00985,USA,PR,Eastern Florida & Puerto Rico,Southeast
00986,USA,PR,Eastern Florida & Puerto Rico,Southeast
00987,USA,PR,Eastern Florida & Puerto Rico,Southeast
00988,USA,PR,Eastern Florida & Puerto Rico,Southeast
00989,USA,PR,Eastern Florida & Puerto Rico,Southeast
00990,USA,PR,Eastern Florida & Puerto Rico,Southeast
00992,USA,PR,Eastern Florida & Puerto Rico,Southeast
00993,USA,PR,Eastern Florida & Puerto Rico,Southeast
00994,USA,PR,Eastern Florida & Puerto Rico,Southeast
00996,USA,PR,Eastern Florida & Puerto Rico,Southeast
00997,USA,PR,Eastern Florida & Puerto Rico,Southeast
00999,USA,PR,Eastern Florida & Puerto Rico,Southeast
01001,USA,MA,New England,Northeast
01002,USA,MA,New England,Northeast
01003,USA,MA,New England,Northeast
01004,USA,MA,New England,Northeast
01005,USA,MA,New England,Northeast
01006,USA,MA,New England,Northeast
01007,USA,MA,New England,Northeast
01008,USA,MA,New England,Northeast
01009,USA,MA,New England,Northeast
01010,USA,MA,New England,Northeast
01011,USA,MA,New England,Northeast
01012,USA,MA,New England,Northeast
01013,USA,MA,New England,Northeast
01014,USA,MA,New England,Northeast
01015,USA,MA,New England,Northeast
01016,USA,MA,New England,Northeast
01017,USA,MA,New England,Northeast
01018,USA,MA,New England,Northeast
01020,USA,MA,New England,Northeast
01021,USA,MA,New England,Northeast
01022,USA,MA,New England,Northeast
01023,USA,MA,New England,Northeast
01024,USA,MA,New England,Northeast
01025,USA,MA,New England,Northeast
01026,USA,MA,New England,Northeast
01027,USA,MA,New England,Northeast
01028,USA,MA,New England,Northeast
01029,USA,MA,New England,Northeast
01030,USA,MA,New England,Northeast
01031,USA,MA,New England,Northeast
01032,USA,MA,New England,Northeast
01033,USA,MA,New England,Northeast
01034,USA,MA,New England,Northeast
01035,USA,MA,New England,Northeast
01036,USA,MA,New England,Northeast
01037,USA,MA,New England,Northeast
01038,USA,MA,New England,Northeast
01039,USA,MA,New England,Northeast
01040,USA,MA,New England,Northeast
01041,USA,MA,New England,Northeast
01042,USA,MA,New England,Northeast
01043,USA,MA,New England,Northeast
01045,USA,MA,New England,Northeast
01046,USA,MA,New England,Northeast
01047,USA,MA,New England,Northeast
01050,USA,MA,New England,Northeast
01051,USA,MA,New England,Northeast
01053,USA,MA,New England,Northeast
01054,USA,MA,New England,Northeast
01055,USA,MA,New England,Northeast
01056,USA,MA,New England,Northeast
01057,USA,MA,New England,Northeast
01058,USA,MA,New England,Northeast
01059,USA,MA,New England,Northeast
01060,USA,MA,New England,Northeast
01061,USA,MA,New England,Northeast
01062,USA,MA,New England,Northeast
01063,USA,MA,New England,Northeast
01064,USA,MA,New England,Northeast
01065,USA,MA,New England,Northeast
01066,USA,MA,New England,Northeast
01067,USA,MA,New England,Northeast
01068,USA,MA,New England,Northeast
01069,USA,MA,New England,Northeast
01070,USA,MA,New England,Northeast
01071,USA,MA,New England,Northeast
01072,USA,MA,New England,Northeast
01073,USA,MA,New England,Northeast
01074,USA,MA,New England,Northeast
01075,USA,MA,New England,Northeast
01076,USA,MA,New England,Northeast
01077,USA,MA,New England,Northeast
01079,USA,MA,New England,Northeast
01080,USA,MA,New England,Northeast
01081,USA,MA,New England,Northeast
01082,USA,MA,New England,Northeast
01083,USA,MA,New England,Northeast
01084,USA,MA,New England,Northeast
01085,USA,MA,New England,Northeast
01086,USA,MA,New England,Northeast
01087,USA,MA,New England,Northeast
01088,USA,MA,New England,Northeast
01089,USA,MA,New England,Northeast
01090,USA,MA,New England,Northeast
01092,USA,MA,New England,Northeast
01093,USA,MA,New England,Northeast
01094,USA,MA,New England,Northeast
01095,USA,MA,New England,Northeast
01096,USA,MA,New England,Northeast
01097,USA,MA,New England,Northeast
01098,USA,MA,New England,Northeast
01100,USA,MA,New England,Northeast
01101,USA,MA,New England,Northeast
01102,USA,MA,New England,Northeast
01103,USA,MA,New England,Northeast
01104,USA,MA,New England,Northeast
01105,USA,MA,New England,Northeast
01106,USA,MA,New England,Northeast
01107,USA,MA,New England,Northeast
01108,USA,MA,New England,Northeast
01109,USA,MA,New England,Northeast
01110,USA,MA,New England,Northeast
01111,USA,MA,New England,Northeast
01113,USA,MA,New England,Northeast
01114,USA,MA,New England,Northeast
01115,USA,MA,New England,Northeast
01116,USA,MA,New England,Northeast
01117,USA,MA,New England,Northeast
01118,USA,MA,New England,Northeast
01119,USA,MA,New England,Northeast
01120,USA,MA,New England,Northeast
01121,USA,MA,New England,Northeast
01122,USA,MA,New England,Northeast
01123,USA,MA,New England,Northeast
01126,USA,MA,New England,Northeast
01128,USA,MA,New England,Northeast
01129,USA,MA,New England,Northeast
01130,USA,MA,New England,Northeast
01132,USA,MA,New England,Northeast
01133,USA,MA,New England,Northeast
01136,USA,MA,New England,Northeast
01138,USA,MA,New England,Northeast
01139,USA,MA,New England,Northeast
01140,USA,MA,New England,Northeast
01143,USA,MA,New England,Northeast
01144,USA,MA,New England,Northeast
01149,USA,MA,New England,Northeast
01151,USA,MA,New England,Northeast
01152,USA,MA,New England,Northeast
01156,USA,MA,New England,Northeast
01157,USA,MA,New England,Northeast
01158,USA,MA,New England,Northeast
01159,USA,MA,New England,Northeast
01160,USA,MA,New England,Northeast
01162,USA,MA,New England,Northeast
01170,USA,MA,New England,Northeast
01172,USA,MA,New England,Northeast
01173,USA,MA,New England,Northeast
01175,USA,MA,New England,Northeast
01179,USA,MA,New England,Northeast
01180,USA,MA,New England,Northeast
01182,USA,MA,New England,Northeast
01183,USA,MA,New England,Northeast
01184,USA,MA,New England,Northeast
01186,USA,MA,New England,Northeast
01190,USA,MA,New England,Northeast
01192,USA,MA,New England,Northeast
01194,USA,MA,New England,Northeast
01195,USA,MA,New England,Northeast
01196,USA,MA,New England,Northeast
01199,USA,MA,New England,Northeast
01200,USA,MA,New England,Northeast
01201,USA,MA,New England,Northeast
01202,USA,MA,New England,Northeast
01203,USA,MA,New England,Northeast
01204,USA,MA,New England,Northeast
01205,USA,MA,New England,Northeast
01206,USA,MA,New England,Northeast
01207,USA,MA,New England,Northeast
01208,USA,MA,New England,Northeast
01209,USA,MA,New England,Northeast
01210,USA,MA,New England,Northeast
01211,USA,MA,New England,Northeast
01216,USA,MA,New England,Northeast
01217,USA,MA,New England,Northeast
01218,USA,MA,New England,Northeast
